method,epsilon,actual_top_stage,estimated_top_stage,top_stage_correct,actual_abandonment,estimated_abandonment,absolute_error,percentage_error,ranking_agreement,suppression_rate,runtime_seconds,trial_count
Non-Private Baseline,0.0,Document Upload,Document Upload,1.0,0.341,0.341,0.0,0.0,1.0,0.0,0.015,1
"Differential Privacy (Laplace, eps=0.1)",0.1,Document Upload,Document Upload,1.0,0.341,0.3415,0.0005,246.69,0.9952,0.0,0.7697,5
"Differential Privacy (Laplace, eps=0.5)",0.5,Document Upload,Document Upload,1.0,0.341,0.3408,0.0002,40.49,0.9952,0.0,1.2681,5
"Differential Privacy (Laplace, eps=1.0)",1.0,Document Upload,Document Upload,1.0,0.341,0.341,0.0,15.26,0.9964,0.0,0.7883,5
"Differential Privacy (Laplace, eps=2.0)",2.0,Document Upload,Document Upload,1.0,0.341,0.3409,0.0001,15.13,0.9952,0.0,0.6494,5
