method,epsilon,actual_top_stage,estimated_top_stage,top_stage_correct,actual_abandonment,estimated_abandonment,absolute_error,percentage_error,ranking_agreement,runtime_seconds
Non-Private Baseline,0.0,Document Upload,Document Upload,1.0,0.341,0.341,0.0,0.0,1.0,0.015
"Differential Privacy (Laplace, eps=0.1)",0.1,Document Upload,Document Upload,1.0,0.341,0.3405,0.0005,351.02,0.9958,0.0677
"Differential Privacy (Laplace, eps=0.25)",0.25,Document Upload,Document Upload,1.0,0.341,0.3407,0.0003,72.72,0.9964,0.0679
"Differential Privacy (Laplace, eps=0.5)",0.5,Document Upload,Document Upload,1.0,0.341,0.3407,0.0003,37.96,0.9967,0.0674
"Differential Privacy (Laplace, eps=0.75)",0.75,Document Upload,Document Upload,1.0,0.341,0.3409,0.0001,47.25,0.997,0.0647
"Differential Privacy (Laplace, eps=1.0)",1.0,Document Upload,Document Upload,1.0,0.341,0.341,0.0,20.9,0.9967,0.0666
